"circuitId","circuitRef","name","location","country","latitude","longitude","elevation"
1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia","-37.8497","144.968",10
3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain","26.0325","50.5106",1
4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain","41.57","2.26111",192
5,"istanbul","Istanbul Park","Istanbul","Turkey","40.9517","29.405",130
6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco","43.7347","7.42056",90
7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada","45.5","-73.5228",17
9,"silverstone","Silverstone Circuit","Silverstone","UK","52.0786","-1.01694",207
10,"hockenheimring","Hockenheimring","Hockenheim","Germany","49.3278","8.56583",152
11,"hungaroring","Hungaroring","Budapest","Hungary","47.5789","19.2486",238
13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium","50.4372","5.97139",467
14,"monza","Autodromo Nazionale di Monza","Monza","Italy","45.6156","9.28111",153
15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore","1.2914","103.864",20
17,"shanghai","Shanghai International Circuit","Shanghai","China","31.3389","121.22",21
18,"interlagos","Autodromo Jose Carlos Pace","Sao Paulo","Brazil","-23.7036","-46.6997",781
20,"nurburgring","Nurburgring","Nurburg","Germany","50.3356","6.9475",2021
21,"imola","Autodromo Enzo e Dino Ferrari","Imola","Italy","44.3439","11.7167",37
22,"suzuka","Suzuka Circuit","Suzuka","Japan","34.8431","136.541",45
24,"yas_marina","Yas Marina Circuit","Abu Dhabi","UAE","24.4672","54.6031",3
32,"rodriguez","Autodromo Hermanos Rodriguez","Mexico City","Mexico","19.4042","-99.0907",2229
34,"ricard","Circuit Paul Ricard","Le Castellet","France","43.2506","5.79167",432
39,"zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands","52.3888","4.54092",8
69,"americas","Circuit of the Americas","Austin","USA","30.1328","-97.6411",157
70,"red_bull_ring","Red Bull Ring","Spielberg","Austria","47.2197","14.7647",677
71,"sochi","Sochi Autodrom","Sochi","Russia","43.4057","39.9578",2
73,"baku","Baku City Circuit","Baku","Azerbaijan","40.3725","49.8533",-28
75,"portimao","Autodromo Internacional do Algarve","Portimao","Portugal","37.227","-8.6267",106
76,"mugello","Autodromo Internazionale del Mugello","Mugello","Italy","43.9975","11.3719",257
77,"jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia","21.6319","39.1044",12
78,"losail","Losail International Circuit","Al Daayen","Qatar","25.49","51.4542",12
79,"miami","Miami International Autodrome","Miami","USA","25.9581","-80.2389",9
