"driverid","driverref","number","code","forename","surname","dob","nationality"
"1","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British"
"4","alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish"
"8","raikkonen","7","RAI","Kimi","Raikkonen","1979-10-17","Finnish"
"9","kubica","88","KUB","Robert","Kubica","1984-12-07","Polish"
"20","vettel","5","VET","Sebastian","Vettel","1987-07-03","German"
"154","grosjean","8","GRO","Romain","Grosjean","1986-04-17","French"
"807","hulkenberg","27","HUL","Nico","Hulkenberg","1987-08-19","German"
"815","perez","11","PER","Sergio","Perez","1990-01-26","Mexican"
"817","ricciardo","3","RIC","Daniel","Ricciardo","1989-07-01","Australian"
"822","bottas","77","BOT","Valtteri","Bottas","1989-08-28","Finnish"
"825","magnussen","20","MAG","Kevin","Magnussen","1992-10-05","Danish"
"826","kvyat","26","KVY","Daniil","Kvyat","1994-04-26","Russian"
"830","verstappen","33","VER","Max","Verstappen","1997-09-30","Dutch"
"832","sainz","55","SAI","Carlos","Sainz","1994-09-01","Spanish"
"839","ocon","31","OCO","Esteban","Ocon","1996-09-17","French"
"840","stroll","18","STR","Lance","Stroll","1998-10-29","Canadian"
"841","giovinazzi","99","GIO","Antonio","Giovinazzi","1993-12-14","Italian"
"842","gasly","10","GAS","Pierre","Gasly","1996-02-07","French"
"844","leclerc","16","LEC","Charles","Leclerc","1997-10-16","Monegasque"
"846","norris","4","NOR","Lando","Norris","1999-11-13","British"
"847","russell","63","RUS","George","Russell","1998-02-15","British"
"848","albon","23","ALB","Alexander","Albon","1996-03-23","Thai"
"849","latifi","6","LAT","Nicholas","Latifi","1995-06-29","Canadian"
"852","tsunoda","22","TSU","Yuki","Tsunoda","2000-05-11","Japanese"
"853","mazepin","9","MAZ","Nikita","Mazepin","1999-03-02","Russian"
"854","schumacher","47","MSC","Mick","Schumacher","1999-03-22","German"
"855","zhou","24","ZHO","Guanyu","Zhou","1999-05-30","Chinese"
"856","de vries","45","DEV","Nyck","de Vries","1995-02-06","Dutch"
"857","piastri","81","PIA","Oscar","Piastri","2001-04-06","Australian"
"858","sargeant","2","SAR","Logan","Sargeant","2000-12-31","American"
