"qualifyId","raceId","driverId","constructorId","number","position","q1","q2","q3"
"7960","1010","1","131","44","1","01:22.0","01:21.0","01:20.5"
"7961","1010","822","131","77","2","01:22.4","01:21.2","01:20.6"
"7962","1010","20","6","5","3","01:22.9","01:21.9","01:21.2"
"7963","1010","830","9","33","4","01:22.9","01:21.7","01:21.3"
"7964","1010","844","6","16","5","01:22.0","01:21.7","01:21.4"
"7965","1010","154","210","8","6","01:23.0","01:21.9","01:21.8"
"7966","1010","825","210","20","7","01:22.5","01:22.2","01:22.1"
"7967","1010","846","1","4","8","01:22.7","01:22.4","01:22.3"
"7968","1010","8","51","7","9","01:23.0","01:22.3","01:22.3"
"7969","1010","815","211","11","10","01:22.9","01:22.5","01:22.8"
"7970","1010","807","4","27","11","01:22.5","01:22.6","\N"
"7971","1010","817","4","3","12","01:22.9","01:22.6","\N"
"7972","1010","848","5","23","13","01:22.8","01:22.6","\N"
"7973","1010","841","51","99","14","01:22.4","01:22.7","\N"
"7974","1010","826","5","26","15","01:22.5","01:22.8","\N"
"7975","1010","840","211","18","16","01:23.0","\N","\N"
"7976","1010","842","9","10","17","01:23.0","\N","\N"
"7977","1010","832","1","55","18","01:23.1","\N","\N"
"7978","1010","847","3","63","19","01:24.4","\N","\N"
"7979","1010","9","3","88","20","01:26.1","\N","\N"
"7980","1011","844","6","16","1","01:28.5","01:28.0","01:27.9"
"7981","1011","20","6","5","2","01:28.7","01:28.4","01:28.2"
"7982","1011","1","131","44","3","01:29.3","01:28.6","01:28.2"
"7983","1011","822","131","77","4","01:29.5","01:28.8","01:28.3"
"7984","1011","830","9","33","5","01:29.6","01:29.1","01:28.8"
"7985","1011","825","210","20","6","01:29.5","01:29.0","01:28.8"
"7986","1011","832","1","55","7","01:29.5","01:29.1","01:28.8"
"7987","1011","154","210","8","8","01:29.7","01:29.2","01:29.0"
"7988","1011","8","51","7","9","01:30.0","01:29.5","01:29.0"
"7989","1011","846","1","4","10","01:29.4","01:29.3","01:29.0"
"7990","1011","817","4","3","11","01:29.9","01:29.5","\N"
"7991","1011","848","5","23","12","01:29.5","01:29.5","\N"
"7992","1011","842","9","10","13","01:29.9","01:29.5","\N"
"7993","1011","815","211","11","14","01:29.9","01:29.8","\N"
"7994","1011","826","5","26","15","01:29.9","01:29.9","\N"
"7995","1011","841","51","99","16","01:30.0","\N","\N"
"7996","1011","807","4","27","17","01:30.0","\N","\N"
"7997","1011","840","211","18","18","01:30.2","\N","\N"
"7998","1011","847","3","63","19","01:31.8","\N","\N"
"7999","1011","9","3","88","20","01:31.8","\N","\N"
"8000","1012","822","131","77","1","01:32.7","01:31.7","01:31.5"
"8001","1012","1","131","44","2","01:33.1","01:31.6","01:31.6"
"8002","1012","20","6","5","3","01:33.6","01:32.2","01:31.8"
