"driverid","raceid","stintnumber","numberoflaps","startlap","tire"
"1","1010","2","43","16","C3"
"841","1032","2","31","40","C4"
"8","1032","2","26","45","C4"
"8","1035","2","25","27","C3"
"8","1036","2","24","21","C2"
"20","1033","2","26","4","C3"
"20","1035","2","11","23","C2"
"20","1036","2","36","30","C3"
"154","1032","2","33","38","C3"
"154","1035","2","21","18","C2"
"154","1036","2","30","33","C3"
"807","1035","2","15","16","C2"
"815","1032","2","33","39","C3"
"815","1033","2","32","4","C3"
"815","1036","2","36","30","C2"
"815","1037","2","26","19","C2"
"817","1032","2","34","38","C4"
"817","1033","2","39","5","C3"
"817","1035","2","12","15","C3"
"817","1036","2","30","36","C3"
"822","1033","2","31","3","C3"
"822","1035","2","19","14","C2"
"822","1036","2","25","24","C2"
"822","1037","2","33","12","C2"
"825","1032","2","39","32","C3"
"825","1033","2","34","2","C2"
"825","1035","2","11","10","C2"
"825","1036","2","37","29","C2"
"826","1032","2","34","37","C2"
"826","1035","2","16","20","C2"
"826","1036","2","24","22","C2"
"830","1033","2","32","5","C3"
"830","1036","2","20","22","C2"
"830","1037","2","33","12","C2"
"832","1032","2","34","33","C3"
"832","1035","2","12","23","C3"
"832","1036","2","19","23","C3"
"839","1035","2","30","23","C2"
"839","1036","2","31","35","C3"
"839","1037","2","33","12","C2"
"840","1038","2","27","27","C3"
"840","1010","2","30","28","C2"
"840","1022","2","16","15","C2"
"840","1037","2","33","12","C2"
"841","1038","2","6","21","C2"
"842","1038","2","7","20","C2"
"844","1038","2","6","18","C2"
"846","1038","2","31","23","C3"
"847","1038","2","4","23","C2"
"848","1038","2","4","23","C3"
"848","1023","2","27","27","C3"
"848","1037","2","33","12","C3"
"1","1038","2","6","21","C3"
"8","1038","2","8","19","C2"
"154","1038","2","31","23","C2"
"815","1038","2","31","23","C3"
"817","1038","2","31","23","C3"
"822","1038","2","31","23","C3"
"825","1038","2","16","2","C2"
"826","1038","2","31","23","C3"
"830","1038","2","8","23","C3"
"832","1038","2","31","23","C3"
"839","1038","2","4","23","C3"
"849","1038","2","10","17","C2"
"1","1012","2","14","23","C2"
"1","1013","2","38","14","C3"
"1","1014","2","19","28","C2"
"1","1015","2","67","12","C4"
"1","1016","2","42","29","C3"
"1","1017","2","29","25","C2"
"1","1018","2","41","31","C2"
"1","1019","2","32","21","C1"
"1","1020","2","25","4","Intermediate"
"1","1022","2","22","23","C2"
"1","1023","2","30","20","C3"
"1","1025","2","25","29","C4"
"1","1026","2","21","22","C2"
"1","1027","2","48","24","C2"
"1","1030","2","29","27","C3"
"1","1032","2","44","28","C3"
"1","1033","2","34","4","C3"
"1","1035","2","27","15","C2"
"1","1036","2","27","24","C2"
"1","1037","2","33","12","C2"
"8","1022","2","1","2","C2"
"8","1031","2","27","25","C2"
"9","1014","2","13","32","C3"
"9","1019","2","31","21","C1"
"817","1015","2","67","12","C4"
"817","1023","2","23","31","C3"
"817","1037","2","33","12","C2"
"8","1018","2","47","24","C2"
"154","1018","2","36","35","C2"
"807","1018","2","44","27","C2"
"815","1018","2","42","29","C2"
"817","1018","2","24","47","C4"
"825","1018","2","51","12","C2"
"826","1018","2","38","33","C2"
"826","1031","2","25","27","C2"
"830","1019","2","7","14","C2"
"830","1023","2","26","2","C4"
"832","1015","2","48","31","C4"
"840","1018","2","45","26","C2"
"841","1018","2","46","25","C2"
"847","1018","2","42","28","C2"
"848","1018","2","35","36","C2"
"1","1021","2","17","32","C2"
"20","1021","2","31","40","C4"
"807","1020","2","12","4","Intermediate"
"822","1020","2","23","4","Intermediate"
"830","1021","2","42","26","C2"
"832","1021","2","40","30","C2"
"841","1020","2","23","4","Intermediate"
"842","1020","2","23","4","Intermediate"
"842","1021","2","41","29","C2"
"844","1020","2","12","4","Intermediate"
"844","1021","2","43","28","C2"
"846","1020","2","19","7","Intermediate"
"1","1024","2","35","27","C3"
"20","1024","2","42","20","C3"
"154","1024","2","12","24","C3"
"807","1024","2","35","2","C3"
"822","1024","2","39","23","C3"
"825","1023","2","14","21","C3"
"826","1023","2","1","29","C4"
"830","1024","2","42","20","C3"
"832","1023","2","0","28","C3"
"832","1024","2","34","2","C3"
"840","1024","2","10","32","C3"
"841","1024","2","2","35","C3"
"842","1024","2","29","33","C4"
"844","1024","2","41","21","C3"
"846","1024","2","41","21","C3"
"848","1024","2","41","21","C3"
"9","1028","2","20","12","C2"
"154","1028","2","31","25","C2"
"825","1028","2","22","19","C2"
"840","1028","2","20","10","C2"
"841","1028","2","22","18","C2"
"842","1028","2","34","20","C2"
"847","1028","2","23","24","C2"
"1","1028","2","32","25","C2"
"1","1029","2","23","21","C3"
"8","1028","2","22","19","C2"
"8","1029","2","26","22","C2"
"9","1029","2","16","21","C2"
"20","1029","2","24","26","C2"
"154","1029","2","39","27","C2"
"807","1028","2","12","28","C3"
"807","1029","2","17","28","C1"
"815","1028","2","31","25","C2"
"815","1029","2","28","18","C2"
"817","1028","2","35","22","C2"
"817","1029","2","32","9","C3"
"822","1028","2","21","15","C2"
"822","1029","2","15","27","C1"
"825","1029","2","26","28","C2"
"826","1028","2","18","22","C3"
"826","1029","2","23","24","C3"
"830","1028","2","21","14","C2"
"830","1029","2","23","22","C3"
"832","1028","2","37","19","C2"
"832","1029","2","42","30","C2"
"840","1029","2","25","29","C2"
"841","1029","2","26","21","C2"
"842","1029","2","25","23","C2"
